algoritmo,n,tipo,dominio,muestra,tiempo_ms,memoria_kb,maquina
stdsort,10,aleatorio,D7,c,0.001384,0,fcarrasco
mergesort,10,ascendente,D1,a,0.001692,0,fcarrasco
quicksort,10,ascendente,D1,a,0.002606,0,fcarrasco
patiencesort,10,ascendente,D1,a,0.001796,0,fcarrasco
stdsort,10,ascendente,D1,a,0.001376,0,fcarrasco
mergesort,10,ascendente,D1,b,0.001694,0,fcarrasco
quicksort,10,ascendente,D1,b,0.002605,0,fcarrasco
patiencesort,10,ascendente,D1,b,0.001847,0,fcarrasco
stdsort,10,ascendente,D1,b,0.001375,0,fcarrasco
mergesort,10,ascendente,D1,c,0.001693,0,fcarrasco
quicksort,10,ascendente,D1,c,0.002605,0,fcarrasco
patiencesort,10,ascendente,D1,c,0.001796,0,fcarrasco
stdsort,10,ascendente,D1,c,0.001368,0,fcarrasco
mergesort,10,ascendente,D7,a,0.001694,0,fcarrasco
quicksort,10,ascendente,D7,a,0.002612,0,fcarrasco
patiencesort,10,ascendente,D7,a,0.001800,0,fcarrasco
stdsort,10,ascendente,D7,a,0.001375,0,fcarrasco
mergesort,10,ascendente,D7,b,0.001693,0,fcarrasco
quicksort,10,ascendente,D7,b,0.002621,0,fcarrasco
patiencesort,10,ascendente,D7,b,0.001799,0,fcarrasco
stdsort,10,ascendente,D7,b,0.001374,0,fcarrasco
mergesort,10,ascendente,D7,c,0.001694,0,fcarrasco
quicksort,10,ascendente,D7,c,0.002615,0,fcarrasco
patiencesort,10,ascendente,D7,c,0.001792,0,fcarrasco
stdsort,10,ascendente,D7,c,0.001378,0,fcarrasco
mergesort,10,descendente,D1,a,0.001698,0,fcarrasco
quicksort,10,descendente,D1,a,0.002639,0,fcarrasco
patiencesort,10,descendente,D1,a,0.001706,0,fcarrasco
stdsort,10,descendente,D1,a,0.001383,0,fcarrasco
mergesort,10,descendente,D1,b,0.001701,0,fcarrasco
quicksort,10,descendente,D1,b,0.002599,0,fcarrasco
patiencesort,10,descendente,D1,b,0.001701,0,fcarrasco
stdsort,10,descendente,D1,b,0.001384,0,fcarrasco
mergesort,10,descendente,D1,c,0.001696,0,fcarrasco
quicksort,10,descendente,D1,c,0.002628,0,fcarrasco
patiencesort,10,descendente,D1,c,0.001703,0,fcarrasco
stdsort,10,descendente,D1,c,0.001383,0,fcarrasco
mergesort,10,descendente,D7,a,0.001689,0,fcarrasco
quicksort,10,descendente,D7,a,0.002598,0,fcarrasco
patiencesort,10,descendente,D7,a,0.001710,0,fcarrasco
stdsort,10,descendente,D7,a,0.001393,0,fcarrasco
mergesort,10,descendente,D7,b,0.001697,0,fcarrasco
quicksort,10,descendente,D7,b,0.002620,0,fcarrasco
patiencesort,10,descendente,D7,b,0.001705,0,fcarrasco
stdsort,10,descendente,D7,b,0.001383,0,fcarrasco
mergesort,10,descendente,D7,c,0.001689,0,fcarrasco
quicksort,10,descendente,D7,c,0.002618,0,fcarrasco
patiencesort,10,descendente,D7,c,0.001702,0,fcarrasco
stdsort,10,descendente,D7,c,0.001389,0,fcarrasco
